Row,Date,Home_Team,Away_Team,Attendance,Match_Report_Link
65,2024-04-13,Indy Eleven,Charleston,"8,556",https://fbref.com/en/matches/b5a5a396/Indy-Eleven-Charleston-Battery-April-13-2024-USL-Championship
66,2024-04-13,Rhode Island FC,Pittsburgh,"3,678",https://fbref.com/en/matches/59692a60/Rhode-Island-FC-Pittsburgh-Riverhounds-April-13-2024-USL-Championship
67,2024-04-14,North Carolina,B'ham Legion,"1,807",https://fbref.com/en/matches/fd2ca8d9/North-Carolina-FC-Birmingham-Legion-April-14-2024-USL-Championship
68,2024-04-13,Sac Republic,FC Tulsa,"8,891",https://fbref.com/en/matches/8c398c32/Sacramento-Republic-FC-Tulsa-April-13-2024-USL-Championship
69,2024-04-13,Monterey Bay,LV Lights FC,"3,524",https://fbref.com/en/matches/9c6327d6/Monterey-Bay-Las-Vegas-Lights-FC-April-13-2024-USL-Championship
70,2024-04-13,San Antonio,Orange County,"6,957",https://fbref.com/en/matches/ab49472f/San-Antonio-FC-Orange-County-SC-April-13-2024-USL-Championship
71,2024-04-13,Phx Rising,CS Switchbacks,"6,277",https://fbref.com/en/matches/d1ac32b0/Phoenix-Rising-Colorado-Springs-Switchbacks-April-13-2024-USL-Championship
72,2024-04-13,El Paso,Roots,"6,667",https://fbref.com/en/matches/0dedcceb/El-Paso-Locomotive-Oakland-Roots-April-13-2024-USL-Championship
73,,,,,
74,2024-04-20,Loudoun Utd,Louisville City,"2,879",https://fbref.com/en/matches/52adb6a6/Loudoun-United-Louisville-City-April-20-2024-USL-Championship
75,2024-04-20,Detroit City,Roots,"5,620",https://fbref.com/en/matches/66d134f5/Detroit-City-Oakland-Roots-April-20-2024-USL-Championship
76,2024-04-20,Hartford,San Antonio,"4,880",https://fbref.com/en/matches/3c3c14aa/Hartford-Athletic-San-Antonio-FC-April-20-2024-USL-Championship
77,2024-04-20,FC Tulsa,Charleston,"3,454",https://fbref.com/en/matches/3cf1a906/FC-Tulsa-Charleston-Battery-April-20-2024-USL-Championship
78,2024-04-20,Miami FC,B'ham Legion,"1,092",https://fbref.com/en/matches/50e9316c/Miami-FC-Birmingham-Legion-April-20-2024-USL-Championship
79,2024-04-20,North Carolina,New Mexico Utd,"1,916",https://fbref.com/en/matches/d299bea3/North-Carolina-FC-New-Mexico-United-April-20-2024-USL-Championship
80,2024-04-20,TB Rowdies,El Paso,"4,945",https://fbref.com/en/matches/bcdefdb8/Tampa-Bay-Rowdies-El-Paso-Locomotive-April-20-2024-USL-Championship
81,2024-04-20,LV Lights FC,Rhode Island FC,"1,943",https://fbref.com/en/matches/d491aa1f/Las-Vegas-Lights-FC-Rhode-Island-FC-April-20-2024-USL-Championship
82,2024-04-20,CS Switchbacks,Indy Eleven,"6,687",https://fbref.com/en/matches/613eca3d/Colorado-Springs-Switchbacks-Indy-Eleven-April-20-2024-USL-Championship
83,Date,Home,Away,Attendance,
84,2024-04-20,Orange County,Sac Republic,"4,200",https://fbref.com/en/matches/032bb17f/Orange-County-SC-Sacramento-Republic-April-20-2024-USL-Championship
85,2024-04-20,Memphis,Monterey Bay,"2,598",https://fbref.com/en/matches/488a2990/Memphis-901-Monterey-Bay-April-20-2024-USL-Championship
86,2024-04-20,Phx Rising,Pittsburgh,"6,759",https://fbref.com/en/matches/50328cdf/Phoenix-Rising-Pittsburgh-Riverhounds-April-20-2024-USL-Championship
87,,,,,
88,2024-04-26,Rhode Island FC,Phx Rising,"4,000",https://fbref.com/en/matches/29b2b163/Rhode-Island-FC-Phoenix-Rising-April-26-2024-USL-Championship
89,2024-04-27,Charleston,LV Lights FC,"4,520",https://fbref.com/en/matches/f4529a8e/Charleston-Battery-Las-Vegas-Lights-FC-April-27-2024-USL-Championship
90,2024-04-27,B'ham Legion,Memphis,"2,541",https://fbref.com/en/matches/564f6c09/Birmingham-Legion-Memphis-901-April-27-2024-USL-Championship
91,2024-04-27,Miami FC,San Antonio,"1,078",https://fbref.com/en/matches/330b515e/Miami-FC-San-Antonio-FC-April-27-2024-USL-Championship
92,2024-04-27,Indy Eleven,North Carolina,"10,071",https://fbref.com/en/matches/4a03b771/Indy-Eleven-North-Carolina-FC-April-27-2024-USL-Championship
93,2024-04-27,Pittsburgh,Detroit City,"6,099",https://fbref.com/en/matches/886a8531/Pittsburgh-Riverhounds-Detroit-City-April-27-2024-USL-Championship
94,2024-04-27,TB Rowdies,New Mexico Utd,"6,588",https://fbref.com/en/matches/232c0e51/Tampa-Bay-Rowdies-New-Mexico-United-April-27-2024-USL-Championship
95,2024-04-27,Louisville City,Hartford,"10,887",https://fbref.com/en/matches/fb9c1f99/Louisville-City-Hartford-Athletic-April-27-2024-USL-Championship
96,2024-04-27,Roots,CS Switchbacks,"3,430",https://fbref.com/en/matches/6a3695b3/Oakland-Roots-Colorado-Springs-Switchbacks-April-27-2024-USL-Championship
97,2024-04-27,Orange County,Monterey Bay,"4,588",https://fbref.com/en/matches/bdfa241e/Orange-County-SC-Monterey-Bay-April-27-2024-USL-Championship
98,2024-04-27,Sac Republic,Loudoun Utd,"10,246",https://fbref.com/en/matches/e9a8a2fe/Sacramento-Republic-Loudoun-United-April-27-2024-USL-Championship
