Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,,
Regular Season,11,Sat,5/18/2024,19:00 (22:00),Roots,,Orange County,,Pioneer Stadium,Servando Berna Rico,Match Report,,,
Regular Season,11,Sat,5/18/2024,19:30 (22:30),LV Lights FC,,Louisville City,,Cashman Field,Joshua Encarnacion,Match Report,,,
Regular Season,11,Sat,5/18/2024,19:30 (22:30),Phx Rising,,Miami FC,,Wild Horse Pass Stadium,Mathew Corrigan,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,12,Fri,5/24/2024,19:30,Hartford,,Monterey Bay,,Trinity Health Stadium,Ricardo Montero,Match Report,,,
Regular Season,12,Fri,5/24/2024,19:30,Charleston,,El Paso,,Patriots Point Soccer Complex,Alejo Calume,Match Report,,,
Regular Season,12,Sat,5/25/2024,16:00,Rhode Island FC,,Louisville City,,Beirne Stadium,Jeremy Scheer,Match Report,,,
Regular Season,12,Sat,5/25/2024,19:00,Miami FC,,North Carolina,,Riccardo Silva Stadium,Trevor Wiseman,Match Report,,,
Regular Season,12,Sat,5/25/2024,19:00,Indy Eleven,,Phx Rising,,Michael A. Carroll Stadium,Calin Radosav,Match Report,,,
Regular Season,12,Sat,5/25/2024,19:30,TB Rowdies,,LV Lights FC,,Al Lang Stadium,Sergii Demianchuk,Match Report,,,
Regular Season,12,Fri,5/24/2024,19:30 (20:30),FC Tulsa,,Roots,,ONEOK Field,Muhammad Hassan,Match Report,,,
Round,Wk,Day,Date,Time,Home,,Away,,Venue,Referee,Match Report,,,Notes
Regular Season,12,Sat,5/25/2024,19:00 (21:00),New Mexico Utd,,San Antonio,,Isotopes Park,Matthew Thompson,Match Report,,,
Regular Season,12,Sat,5/25/2024,19:00 (22:00),Orange County,,Loudoun Utd,,Orange Country Great Park Championship S...,Natalie Simon,Match Report,,,
Regular Season,12,Sat,5/25/2024,19:00 (22:00),Sac Republic,,B'ham Legion,,Heart Health Park,Brandon Stevis,Match Report,,,
Regular Season,12,Sat,5/25/2024,19:30 (20:30),Memphis,,Pittsburgh,,AutoZone Park,Velimir Stefanovic,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,,Wed,5/29/2024,19:30,Louisville City,,Detroit City,,Lynn Family Stadium,Mathew Corrigan,Match Report,,,
Regular Season,,Wed,5/29/2024,19:00 (22:00),Monterey Bay,,Charleston,,Cardinale Stadium,Elvis Osmanovic,Match Report,,,
Regular Season,13,Sat,6/1/2024,19:00,Miami FC,,Louisville City,,South Dade Kia Field at Pitbull Stadium,Alejo Calume,Match Report,,,
Regular Season,13,Sat,6/1/2024,19:00,Loudoun Utd,,FC Tulsa,,Segra Field,John Griggs,Match Report,,,
Regular Season,13,Sat,6/1/2024,19:00,Pittsburgh,,Indy Eleven,,Highmark Stadium,Lorenzo Hernandez,Match Report,,,
Regular Season,13,Sat,6/1/2024,19:00,Hartford,,Rhode Island FC,,Trinity Health Stadium,Luis Arroyo,Match Report,,,
Regular Season,13,Sun,6/2/2024,16:00 (19:00),Monterey Bay,,New Mexico Utd,,Cardinale Stadium,Servando Berna Rico,Match Report,,,
Regular Season,13,Sat,6/1/2024,19:00 (22:00),Sac Republic,,TB Rowdies,,Heart Health Park,Gerald Flores,Match Report,,,
