Player_ID,Player_Name,First_Name,Last_Name,Nationality,Position,Is_Offense,Is_Defense,Born
64,Maliek Howell,Maliek,Howell,JAM,DF,FALSE,TRUE,1999
65,Keegan Hughes,Keegan,Hughes,USA,DF,FALSE,TRUE,2000
66,Abdul Illal Osumanu,Abdul,Illal Osumanu,GHA,DF,FALSE,TRUE,1996
67,Chris Jean Francois,Chris,Jean Francois,,DF,FALSE,TRUE,
68,Oscar Jimenez,Oscar,Jimenez,USA,DF,FALSE,TRUE,1989
69,Phanuel Kavita,Phanuel,Kavita,RWA,DF,FALSE,TRUE,1993
70,Freddy Kleemann,Freddy,Kleemann,USA,DF,FALSE,TRUE,1999
71,Emrah Klimenta,Emrah,Klimenta,MNE,DF,FALSE,TRUE,1991
72,Daltyn Knutson,Daltyn,Knutson,USA,DF,FALSE,TRUE,1997
73,Duke Lacroix,Duke,Lacroix,HAI,DF,FALSE,TRUE,1993
74,Owen Lambe,Owen,Lambe,USA,DF,FALSE,TRUE,2000
75,Alex Lara,Alex,Lara,USA,DF,FALSE,TRUE,1998
76,Forrest Lasso,Forrest,Lasso,USA,DF,FALSE,TRUE,1993
77,Yanis Leerman,Yanis,Leerman,FRA,DF,FALSE,TRUE,1998
78,Jake Lent-Koop,Jake,Lent-Koop,USA,DF,FALSE,TRUE,2000
79,Brett Levis,Brett,Levis,CAN,DF,FALSE,TRUE,1993
80,Niall Logue,Niall,Logue,IRL,DF,FALSE,TRUE,1995
81,Matt Mahoney,Matt,Mahoney,USA,DF,FALSE,TRUE,1995
82,Justin Malou,Justin,Malou,SEN,DF,FALSE,TRUE,1998
83,Carter Manley,Carter,Manley,USA,DF,FALSE,TRUE,1996
84,Talen Maples,Talen,Maples,USA,DF,FALSE,TRUE,1998
85,Gagi Margvelashvili,Gagi,Margvelashvili,GEO,DF,FALSE,TRUE,1996
86,Nelson Martinez,Nelson,Martinez,USA,DF,FALSE,TRUE,2001
87,Justin Melly,Justin,Melly,USA,DF,FALSE,TRUE,2006
88,Moses Mensah,Moses,Mensah,GHA,DF,FALSE,TRUE,1998
89,Ashton Miles,Ashton,Miles,USA,DF,FALSE,TRUE,2004
90,Abdi Mohamed,Abdi,Mohamed,SOM,DF,FALSE,TRUE,1996
91,James Musa,James,Musa,NZL,DF,FALSE,TRUE,1992
92,Markus Nakkim,Markus,Nakkim,NOR,DF,FALSE,TRUE,1996
93,Daniel Navarro,Daniel,Navarro,BRA,DF,FALSE,TRUE,1991
94,Gennaro Nigro,Gennaro,Nigro,USA,DF,FALSE,TRUE,2000
95,Frank Nodarse,Frank,Nodarse,CUB,DF,FALSE,TRUE,2000
96,Elias Norris,Elias,Norris,USA,DF,FALSE,TRUE,2001
97,Josh O'Brien,Josh,O'Brien,ENG,DF,FALSE,TRUE,
98,Benjamin Ofeimu,Benjamin,Ofeimu,USA,DF,FALSE,TRUE,2000
99,Arturo Ordoñez,Arturo,Ordoñez,ESP,DF,FALSE,TRUE,1997
100,Arturo Ortiz,Arturo,Ortiz,MEX,DF,FALSE,TRUE,1992
101,Pele Ousmanou,Pele,Ousmanou,CMR,DF,FALSE,TRUE,2005
102,Giovanni Padilla,Giovanni,Padilla,USA,DF,FALSE,TRUE,2006
103,Juan Palma,Juan,Palma,COL,DF,FALSE,TRUE,1999
104,AJ Paterson,AJ,Paterson,GRN,DF,FALSE,TRUE,1996
105,Adrián Pelayo,Adrián,Pelayo,USA,DF,FALSE,TRUE,2006
106,Delentz Pierre,Delentz,Pierre,HAI,DF,FALSE,TRUE,2000
107,Álvaro Quezada,Álvaro,Quezada,USA,DF,FALSE,TRUE,1999
108,Matthew Real,Matthew,Real,USA,DF,FALSE,TRUE,1999
109,Grant Robinson,Grant,Robinson,USA,DF,FALSE,TRUE,1998
110,Kalen Ryden,Kalen,Ryden,USA,DF,FALSE,TRUE,1991
111,Abdi Salim,Abdi,Salim,SOM,DF,FALSE,TRUE,2001
112,Marco Santana,Marco,Santana,,DF,FALSE,TRUE,
113,Koa Santos,Koa,Santos,USA,DF,FALSE,TRUE,1999
